year;price_index
1971;56.59991155
1972;61.91401435
1973;58.32935329
1974;70.65555625
1975;80.3718744
1976;74.93199401
1977;80.62342956
1978;95.24507337
1979;79.20843177
1980;95.93685007
1981;127.3183566
1982;128.0730221
1983;118.8598142
1984;118.9855918
1985;138.6697833
1986;142.3173331
1987;139.9275591
1988;136.9717859
1989;127.9472445
1990;113.2312675
1991;80.21465242
1992;92.03774505
1993;74.80621643
1994;62.60579105
1995;82.16420493
1996;81.34665065
1997;67.98278265
1998;73.61132941
1999;70.72430107
2000;68.33953559
2001;66.71281233
2002;65.17664645
2003;65.90056771
2004;71.05520134
2005;70.73495132
2006;79.46168811
2007;125.1013833
2008;126.5105828
2009;122.5950972
2010;117.2530771
2011;143.1240785
2012;150.1760551
2013;146.0014171
2014;149.582057
2015;154.0089939
2016;146.6539346
